id,title,main_picture,start_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,created_at,updated_at,media_type,status,genres,num_episodes,start_season,broadcast,source,average_episode_duration,rating,background,studios,statistics,end_date
21,One Piece,"{'medium': 'https://cdn.myanimelist.net/images/anime/6/73245.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/6/73245l.jpg'}",1999-10-20,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it.

The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many.

As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure.

[Written by MAL Rewrite]",8.71,54.0,19,2264688,1282098,white,2005-11-11T01:20:50+00:00,2023-09-28T00:41:25+00:00,tv,currently_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}]",0,"{'year': 1999, 'season': 'fall'}","{'day_of_the_week': 'sunday', 'start_time': '09:30'}",manga,1440,pg_13,"Several anime-original arcs have been adapted into light novels, and the series has inspired 50+ video games as of 2023.

In June 2004, One Piece was licensed in North America by 4Kids Entertainment, which partnered with Viz Media for home video distribution. As One Piece proved unsuitable for their target demographic, 4Kids Entertainment censored the show to meet their standards, and, in December 2006, they stopped its production. In April 2007, Funimation took over the series licensing, providing an uncut version that remained faithful to the original release.

In Japan, the anime's first 574 episodes were released exclusively on DVD by Avex Pictures from February 21, 2001, to December 4, 2013. Blu-rays also became available with the DVDs starting on January 8, 2014. In North America, Viz Media released the anime on DVD between February 28, 2006, and June 26, 2007. Funimation has re-released and continued the series since May 27, 2008. From March 23, 2021, the DVDs were accompanied by Blu-rays as well.","[{'id': 18, 'name': 'Toei Animation'}]","{'status': {'watching': '1600402', 'completed': '44', 'on_hold': '268271', 'dropped': '182055', 'plan_to_watch': '213859'}, 'num_list_users': 2264631}",
1312,Chikyuu Bouei Kigyou Dai-Guard,"{'medium': 'https://cdn.myanimelist.net/images/anime/1969/94093.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1969/94093l.jpg'}",1999-10-05,"Thirteen years after their sudden disappearance, an alien race known as the Heterodyne resurface without warning. To combat the Heterodyne, three office workers from the 21st Century Security Corporation operate Dai-Guard - a giant robot no longer regarded as an oversized paperweight. Unfortunately, Dai-Guard is somewhat obsolete and in disrepair. It's a tough job, but salarymen can also save the world. 

(Source: ANN)",7.15,3401.0,6339,9480,3006,white,2006-08-11T21:48:49+00:00,2022-04-11T10:15:36+00:00,tv,finished_airing,"[{'id': 2, 'name': 'Adventure'}, {'id': 4, 'name': 'Comedy'}, {'id': 18, 'name': 'Mecha'}, {'id': 38, 'name': 'Military'}, {'id': 24, 'name': 'Sci-Fi'}]",26,"{'year': 1999, 'season': 'fall'}","{'day_of_the_week': 'tuesday', 'start_time': '18:00'}",original,1500,pg_13,,"[{'id': 27, 'name': 'Xebec'}]","{'status': {'watching': '507', 'completed': '3518', 'on_hold': '498', 'dropped': '543', 'plan_to_watch': '4411'}, 'num_list_users': 9477}",2000-03-28
2907,Cyborg Kuro-chan,"{'medium': 'https://cdn.myanimelist.net/images/anime/11/17464.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/11/17464l.jpg'}",1999-10-02,"Kuro is just an ordinary cat who only wants to protect his owners who are an old couple that can't fend for themselves. One day while on a date with his girlfriend Pooly who is a dog, he is kidnapped by an evil scientist and turned into a robot. Kuro somehow removes the chip that controlled him and notices that people get scared with his new robotic appearance and that he can now talk like a human. He decides to disguise himself with the skin of a stuffed toy and to continue living as a pet.

(Source: ANN)",7.14,3464.0,6509,8863,4206,white,2007-08-03T03:09:58+00:00,2022-04-07T01:43:06+00:00,tv,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 24, 'name': 'Sci-Fi'}]",66,"{'year': 1999, 'season': 'fall'}","{'day_of_the_week': 'saturday', 'start_time': '08:00'}",manga,1500,pg,,"[{'id': 338, 'name': 'Studio Bogey'}]","{'status': {'watching': '482', 'completed': '5179', 'on_hold': '588', 'dropped': '743', 'plan_to_watch': '1870'}, 'num_list_users': 8862}",2001-01-06
1199,Nintama Rantarou,"{'medium': 'https://cdn.myanimelist.net/images/anime/6/74028.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/6/74028l.jpg'}",1993-04-10,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. 

With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama.

The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes. ",7.09,3729.0,6996,7397,2404,white,2006-07-10T06:45:35+00:00,2022-12-24T11:36:39+00:00,tv,currently_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 15, 'name': 'Kids'}]",0,"{'year': 1993, 'season': 'spring'}","{'day_of_the_week': 'other', 'start_time': '18:10'}",manga,600,g,,"[{'id': 30, 'name': 'Ajia-do'}]","{'status': {'watching': '2049', 'completed': 0, 'on_hold': '1154', 'dropped': '1597', 'plan_to_watch': '2596'}, 'num_list_users': 7396}",
6560,Popee the Performer,"{'medium': 'https://cdn.myanimelist.net/images/anime/1682/110199.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1682/110199l.jpg'}",2000-01-03,"Somewhere in the desert lies the Wolf Zirkus: a strange circus where Popee, a clown in a pink rabbit jumpsuit, shares the stage with Kedamono, a purple creature who wears a mask. Together, they juggle the whims of performing, practicing their acts, and poking fun at each other. In a world where anything seems possible, there is no telling what will happen next during this eccentric spectacle.

[Written by MAL Rewrite]
",7.23,3009.0,6063,10536,4447,white,2009-05-31T02:22:13+00:00,2023-09-01T02:52:58+00:00,tv,finished_airing,"[{'id': 5, 'name': 'Avant Garde'}, {'id': 4, 'name': 'Comedy'}, {'id': 57, 'name': 'Gag Humor'}]",39,"{'year': 2000, 'season': 'winter'}","{'day_of_the_week': 'monday', 'start_time': '20:53'}",original,240,r,Popee the Performer's 11th episode was banned from being rebroadcast on Kids Station in Japan due to complaints about excessive violence in a children's show. A related concern led to episode 27 being released only on DVD.,"[{'id': 2812, 'name': 'Zuiyo'}]","{'status': {'watching': '724', 'completed': '5125', 'on_hold': '488', 'dropped': '685', 'plan_to_watch': '3513'}, 'num_list_users': 10535}",2001-12-28
1382,Yuusha-Ou GaoGaiGar Final,"{'medium': 'https://cdn.myanimelist.net/images/anime/1187/132740.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1187/132740l.jpg'}",2000-01-21,"Following Gutsy Galaxy Guard's victory over the Zonder Empire and the 31 Primevals, a new threat makes their appearance on Earth. GGG—with Guy Shishio and the newly-constructed GaoFighGar—team up with their French counterpart Chasseur to battle the evil organization BioNet. Among Chasseur's ranks is Renais Cardiff Shishioh, a former BioNet cyborg with the relentless pursuit of destroying those who took away her humanity. But as GGG and Chasseur fight the BioNet, GGG's bases around the world are suddenly attacked, and the recently-discovered ""Q-Parts"" and the original Gao Machines are stolen by Mamoru Amami, who has been abducted and cloned by an even greater threat known as the ""Eleven Kings of Sol."" Evicted from Earth by the United Nations, GGG must now travel to the far reaches of the galaxy to battle the Eleven Kings of Sol and save Mamoru before it's too late.

(Source: ANN, edited)",8.08,511.0,6176,10068,4178,white,2006-08-19T00:03:24+00:00,2023-09-02T22:31:51+00:00,ova,finished_airing,"[{'id': 2, 'name': 'Adventure'}, {'id': 8, 'name': 'Drama'}, {'id': 18, 'name': 'Mecha'}, {'id': 24, 'name': 'Sci-Fi'}, {'id': 31, 'name': 'Super Power'}]",8,"{'year': 2000, 'season': 'winter'}",,original,1920,pg_13,,"[{'id': 14, 'name': 'Sunrise'}]","{'status': {'watching': '360', 'completed': '5477', 'on_hold': '211', 'dropped': '266', 'plan_to_watch': '3752'}, 'num_list_users': 10066}",2003-03-21
245,Great Teacher Onizuka,"{'medium': 'https://cdn.myanimelist.net/images/anime/13/11460.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/13/11460l.jpg'}",1999-06-30,"Twenty-two-year-old Eikichi Onizuka—ex-biker gang leader, conqueror of Shonan, and virgin—has a dream: to become the greatest high school teacher in all of Japan. This isn't because of a passion for teaching, but because he wants a loving teenage wife when he's old and gray. Still, for a perverted, greedy, and lazy delinquent, there is more to Onizuka than meets the eye. So when he lands a job as the homeroom teacher of the Class 3-4 at the prestigious Holy Forest Academy—despite suplexing the Vice Principal—all of his talents are put to the test, as this class is particularly infamous.

Due to their utter contempt for all teachers, the class' students use psychological warfare to mentally break any new homeroom teacher they get, forcing them to quit and leave school. However, Onizuka isn't your average teacher, and he's ready for any challenge in his way.

Bullying, suicide, and sexual harassment are just a few of the issues his students face daily. By tackling the roots of their problems, Onizuka supports them with his unpredictable and unconventional methods—even if it means jumping off a building to save a suicidal child. Thanks to his eccentric charm and fun-loving nature, Class 3-4 slowly learns just how enjoyable school can be when you're the pupils of the Great Teacher Onizuka.

[Written by MAL Rewrite]",8.69,61.0,218,805182,396101,white,2005-11-13T02:44:09+00:00,2023-06-25T06:57:35+00:00,tv,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 55, 'name': 'Delinquents'}, {'id': 23, 'name': 'School'}, {'id': 27, 'name': 'Shounen'}, {'id': 48, 'name': 'Workplace'}]",43,"{'year': 1999, 'season': 'summer'}","{'day_of_the_week': 'wednesday', 'start_time': '19:30'}",manga,1550,r,,"[{'id': 1, 'name': 'Pierrot'}]","{'status': {'watching': '65326', 'completed': '440995', 'on_hold': '44777', 'dropped': '24835', 'plan_to_watch': '229237'}, 'num_list_users': 805170}",2000-09-17
136,Hunter x Hunter,"{'medium': 'https://cdn.myanimelist.net/images/anime/1305/132237.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1305/132237l.jpg'}",1999-10-16,"Hunters are specialized in a wide variety of fields, ranging from treasure hunting to cooking. They have access to otherwise unavailable funds and information that allow them to pursue their dreams and interests. However, being a hunter is a special privilege, only attained by taking a deadly exam with an extremely low success rate.

Gon Freecss, a 12-year-old boy with the hope of finding his missing father, sets out on a quest to take the Hunter Exam. Along the way, he picks up three companions who also aim to take the dangerous test: the revenge-seeking Kurapika, aspiring doctor Leorio Paladiknight, and a mischievous child the same age as Gon, Killua Zoldyck.

As the four aspiring hunters embark on a perilous adventure, they fight for their dreams while defying the odds.

[Written by MAL Rewrite]",8.41,176.0,361,576571,281138,white,2005-11-11T14:49:12+00:00,2023-01-24T00:38:36+00:00,tv,finished_airing,"[{'id': 1, 'name': 'Action'}, {'id': 2, 'name': 'Adventure'}, {'id': 10, 'name': 'Fantasy'}, {'id': 27, 'name': 'Shounen'}]",62,"{'year': 1999, 'season': 'fall'}","{'day_of_the_week': 'saturday', 'start_time': '18:00'}",manga,1380,pg_13,,"[{'id': 22, 'name': 'Nippon Animation'}]","{'status': {'watching': '41666', 'completed': '358781', 'on_hold': '22192', 'dropped': '21001', 'plan_to_watch': '132917'}, 'num_list_users': 576557}",2001-03-31
744,Trouble Chocolate,"{'medium': 'https://cdn.myanimelist.net/images/anime/8/61293.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/8/61293l.jpg'}",1999-10-08,"Cacao, a student at Micro Grand Academy, wakes up one morning to find a girl made of wood sleeping in bed with him. She is Hinano, a tree spirit who possessed the body of a wooden puppet after Cacao messed up his magic teacher's spell. Having taken an instant liking to Cacao, Hinano enrolls in his school. Between Hinano, monsters, two strange twins and their four-eyed cat master, a demon boy, odd teachers and students, and the fact that he may have the potential to be one of the greatest magic users of all time, Cacao's life seems to have taken several turns for the worse...and the weird. 

(Source: ANN)",6.51,6573.0,7730,5770,2024,white,2006-02-17T23:44:01+00:00,2023-06-05T05:41:03+00:00,tv,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 22, 'name': 'Romance'}, {'id': 24, 'name': 'Sci-Fi'}]",20,"{'year': 1999, 'season': 'fall'}","{'day_of_the_week': 'saturday', 'start_time': '02:00'}",radio,1415,g,,"[{'id': 48, 'name': 'AIC'}]","{'status': {'watching': '376', 'completed': '2355', 'on_hold': '293', 'dropped': '451', 'plan_to_watch': '2294'}, 'num_list_users': 5769}",2000-03-24
783,Miami Guns,"{'medium': 'https://cdn.myanimelist.net/images/anime/1/783.jpg', 'large': 'https://cdn.myanimelist.net/images/anime/1/783l.jpg'}",2000-02-05," Spoiled rich girl Yao Sakurakouji decides to join the Miami police force to enjoy car chases, gunfights and wanton destruction. The psychotic and not-too-bright Yao is partnered with Lu Amano, the soft-spoken and sharp-tongued daughter of the police chief. Together the dirty duo clean up the streets of Miami and take on a mysterious crime syndicate known only as 'The Organization'. 

(Source: ANN)",6.57,6251.0,7191,6898,2195,white,2006-02-27T13:14:32+00:00,2021-12-01T11:16:26+00:00,tv,finished_airing,"[{'id': 4, 'name': 'Comedy'}, {'id': 39, 'name': 'Detective'}, {'id': 9, 'name': 'Ecchi'}, {'id': 27, 'name': 'Shounen'}]",13,"{'year': 2000, 'season': 'winter'}","{'day_of_the_week': 'sunday', 'start_time': '01:45'}",manga,1442,r,,"[{'id': 86, 'name': 'Group TAC'}]","{'status': {'watching': '413', 'completed': '2606', 'on_hold': '258', 'dropped': '459', 'plan_to_watch': '3159'}, 'num_list_users': 6895}",2000-05-20
